GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
0100000US,,United States,301461533,*****,224469780,45816,37264679,22810,2423294,12407,13201056,16395,447591,4938,16986453,46059,6668680,65623,1351590,25511,5317090,44325
0400000US01,01,Alabama,4633360,*****,3256941,2075,1209938,1955,22969,1028,46655,771,2025,507,38342,2159,56490,2280,4421,671,52069,2150
0400000US02,02,Alaska,683142,*****,467650,1179,25161,1070,91939,1761,31878,759,4269,298,11613,1000,50632,1946,2811,502,47821,1850
0400000US04,04,Arizona,6324865,*****,4906936,9555,227282,2411,284265,2654,153301,1532,11045,897,577781,8898,164255,4594,51463,2810,112792,3728
0400000US05,05,Arkansas,2838143,*****,2228798,3258,439355,1554,19233,860,31120,739,2505,358,67135,3387,49997,2025,4819,835,45178,1752
0400000US06,06,California,36308527,*****,22258042,25175,2249404,6553,283031,4991,4473292,8057,132535,2173,5639234,27034,1272989,19302,383694,9155,889295,14239
0400000US08,08,Colorado,4843211,*****,4055379,7060,186598,2470,46018,1922,125336,1552,5030,612,282239,5900,142611,3777,32583,1980,110028,2858
0400000US09,09,Connecticut,3494487,*****,2792362,4282,330186,1973,8169,960,117515,904,1292,162,175333,4420,69630,2360,15240,1210,54390,2099
0400000US10,10,Delaware,863832,*****,626289,1481,176743,1040,2588,383,25084,440,134,82,18100,1395,14894,1157,1360,332,13534,1098
0400000US11,11,District of Columbia,588433,*****,210983,1634,324631,964,1573,210,17439,383,426,75,23935,1590,9446,840,1308,310,8138,797
0400000US12,12,Florida,18222420,*****,13958847,11044,2799699,6006,54985,2263,417740,2542,9959,811,650124,10322,331066,7501,83118,3862,247948,5578
0400000US13,13,Georgia,9497667,*****,5899345,7911,2818524,3991,23947,1450,268831,1891,4988,639,349463,8687,132569,3966,23162,1590,109407,3530
0400000US15,15,Hawaii,1280241,*****,344681,1788,30995,1209,3781,430,493178,3982,112940,2093,16661,1452,278005,4994,8770,949,269235,5069
0400000US16,16,Idaho,1492573,*****,1374465,2557,9030,740,18352,1150,16739,680,1827,291,35706,2359,36454,1635,5007,650,31447,1458
0400000US17,17,Illinois,12785043,*****,9190854,12140,1875767,4113,23208,1223,538728,1915,3459,623,944969,12430,208058,4817,54719,2374,153339,3696
0400000US18,18,Indiana,6342469,*****,5436153,3695,548998,2392,14492,912,85470,957,1463,247,144281,3975,111612,3385,17345,1156,94267,3073
0400000US19,19,Iowa,2978880,*****,2759828,2112,72103,1318,9404,622,47092,800,832,242,46155,1974,43466,1521,6276,722,37190,1455
0400000US20,20,Kansas,2777835,*****,2382407,3071,157121,1743,22722,977,60235,951,1614,401,81203,2820,72533,1883,10727,1048,61806,1694
0400000US21,21,Kentucky,4252000,*****,3783499,2235,318974,2276,8193,763,42896,905,2839,541,37387,2025,58212,1896,6013,723,52199,1765
